Study Accession,Sample Accession or Sample ID,GMWI,Inverse Simpson,Richness,Shannon,Evenness
PRJEB11532,SAMEA3665138,4.093192321093545,19.305474647515037,61.0,3.274377112317842,0.5698331583032734
PRJEB11532,SAMEA3665139,4.5361352298028725,23.9899560560392,70.0,3.5217619474160102,0.6128850356725654
PRJEB11532,SAMEA3665140,4.03021646211433,16.13779218896073,56.0,3.0657934046990443,0.5335337618666517
PRJEB11532,SAMEA3665141,1.4308758451197088,5.276276634464595,62.0,2.3998915751304333,0.4176482271078269
PRJEB11532,SAMEA3665142,-0.4136647841767837,10.612462028055912,48.0,2.695630714225361,0.4691151051990501
PRJEB11532,SAMEA3665143,4.157873531224457,16.02443950364428,57.0,3.1962239196188387,0.5562323178687296
PRJEB11532,SAMEA3665144,4.022227790771334,15.40893369259515,67.0,3.1809419423987797,0.5535728265988739
PRJEB11532,SAMEA3665145,2.026840931419123,2.8997488178987827,59.0,1.855575369220169,0.3229219899976669
PRJEB11532,SAMEA3665146,4.114425073035457,9.563936117692194,64.0,2.8083937730133766,0.48873902991052826
PRJEB11532,SAMEA3665147,1.8277473380429345,1.5065534534025704,57.0,1.018646951569753,0.17727304757456694
PRJEB11532,SAMEA3665148,2.265130770357592,9.18473527395936,62.0,2.732800596455298,0.475583703854094
PRJEB11532,SAMEA3665149,3.9668613879453263,10.291935324742289,69.0,3.0556135417636745,0.5317621811205813
PRJEB11532,SAMEA3665150,4.536675767452993,16.012397987539075,66.0,3.199854770961054,0.5568641875088761
PRJEB11532,SAMEA3665151,4.097095931968179,16.659153272283337,62.0,3.168040282025894,0.5513275770062167
PRJEB11532,SAMEA3665152,2.7869562824619556,21.178465591285267,74.0,3.387296166659218,0.5894842306021564
PRJEB11532,SAMEA3665153,-0.019326230370869515,15.130750733277635,58.0,3.021372325179356,0.5258032521636851
PRJEB11532,SAMEA3665154,2.51889967761745,1.9035835205410623,60.0,1.4501589940178834,0.2523682066108014
PRJEB11532,SAMEA3665155,2.7034176952487994,4.325767637848171,78.0,2.542588202367795,0.44248142957311387
PRJEB11532,SAMEA3665156,2.741387204079668,14.214370576097336,81.0,3.0824099079322935,0.5364254979717384
PRJEB11532,SAMEA3665157,1.9052808196350162,15.11112793576891,71.0,3.1033404636139847,0.5400679998094995
PRJEB11532,SAMEA3665158,0.7316698015195103,16.112409229665765,97.0,3.331491902401406,0.5797727285185402
PRJEB11532,SAMEA3665159,3.842182121506332,2.0131044934781204,56.0,1.4642430066853331,0.2548192185573744
PRJEB11532,SAMEA3665160,3.913566636310677,13.824242837983778,71.0,3.1898313282403103,0.5551198282531427
PRJEB11532,SAMEA3665161,3.2951736127847635,17.26687537748137,80.0,3.2606798806529618,0.5674494570642659
PRJEB11532,SAMEA3665162,2.5686942623048568,10.513423907902634,69.0,2.9769883910724726,0.5180792068010095
PRJEB11532,SAMEA3665163,4.154541186214961,8.320837823126157,49.0,2.7206085833033744,0.4734619527172746
PRJEB11532,SAMEA3665164,2.47051561163784,1.8181089541265234,62.0,1.4073160089802208,0.24491232946601227
PRJEB11532,SAMEA3665165,1.3542380333174429,15.416682831803346,79.0,3.180685559264985,0.5535282087659686
PRJEB11532,SAMEA3665166,1.3552964470189128,4.730343462142775,90.0,2.60763890662565,0.4538020707166339
PRJEB11532,SAMEA3665167,3.2912211943177705,7.979510011353829,48.0,2.573995311011617,0.44794714451607426
PRJEB11532,SAMEA3665168,3.7395581403695184,3.5713097145431534,63.0,2.3320473445072487,0.4058414342789769
PRJEB11532,SAMEA3665169,1.0147946727281127,10.390922366987452,76.0,2.9669395441154465,0.5163304264979445
PRJEB11532,SAMEA3665170,2.3816016240061764,12.09402561960185,68.0,3.0922507279983327,0.5381380757800275
PRJEB11532,SAMEA3665171,4.152576000786335,8.993426553921681,82.0,2.973968689606396,0.5175536943250414
PRJEB11532,SAMEA3665172,2.7534769650666586,4.78410069633203,74.0,2.4666311791640063,0.42926278402837664
PRJEB11532,SAMEA3665173,3.2786052008055675,9.259757483518348,61.0,2.680997307111157,0.46656848325948924
PRJEB11532,SAMEA3665174,3.0022225054307268,12.331454731137544,67.0,2.940102032215336,0.5116599491392092
PRJEB11532,SAMEA3665175,3.2571451758186085,4.231513201906824,68.0,2.527882528708129,0.4399222312343089
PRJEB11532,SAMEA3665176,1.9136851553046244,9.005790976311456,66.0,2.888098990480911,0.5026099660442784
PRJEB11532,SAMEA3665177,2.5011164993749837,13.276879653156998,82.0,3.2017186737075165,0.5571885586953199
PRJEB11532,SAMEA3665178,0.1689508747745816,11.260649050918616,64.0,2.752869599210257,0.4790762713964319
PRJEB11532,SAMEA3665179,4.622110031747062,5.580204828556687,60.0,2.46123754881857,0.4283241415601959
PRJEB11532,SAMEA3665180,3.1930174624233225,11.94020606905498,60.0,2.9479514929982082,0.5130259747604045
PRJEB11532,SAMEA3665181,3.8765768465670525,12.302731832075601,69.0,3.1768252809790694,0.5528564124235994
PRJEB11532,SAMEA3665182,3.3419522524933285,8.83841055407318,50.0,2.767062330170761,0.4815462033654004
PRJEB11532,SAMEA3665183,4.011877778272431,13.263591337550562,67.0,3.1180380824894733,0.5426257963906724
