GMHI,Richness,Evenness,Shannon,Inverse Simpson
2.4539,64,0.5191,2.9828,11.1364
3.5083,55,0.4463,2.5644,5.9039
0.711,31,0.438,2.5167,8.5265
2.7541,37,0.4477,2.5727,8.216
1.2708,37,0.3474,1.996,4.4999
0.0,25,0.3026,1.7388,3.8007
0.0,36,0.4537,2.6068,9.4262
0.0,36,0.4829,2.7751,12.042
-0.7274,32,0.3675,2.1119,4.5678
3.254,43,0.5333,3.0647,14.2615
0.0,36,0.3901,2.2415,5.5882
-0.5886,77,0.5447,3.1298,15.6693
0.8488,80,0.523,3.0055,13.6974
-4.345,77,0.3959,2.275,5.7217
-1.1679,84,0.5245,3.0138,11.1206
-0.6131,81,0.542,3.1142,13.4084
0.8691,71,0.5419,3.1138,14.5045
3.2056,33,0.4897,2.8139,12.5335
2.4805,39,0.402,2.3097,5.8757
0.0,35,0.4416,2.5373,8.3188
-1.4255,42,0.4654,2.6742,8.9789
3.3404,29,0.3908,2.2455,6.1576
2.658,29,0.3492,2.0068,4.9964
2.3788,52,0.4565,2.623,7.4515
2.4668,34,0.3839,2.2057,6.2731
1.7404,50,0.4992,2.8683,12.6524
2.0792,55,0.5318,3.0557,14.9939
3.803,57,0.5591,3.2126,16.8048
3.7837,60,0.4998,2.8719,8.4368
3.3491,57,0.3822,2.196,3.6459
-2.374,43,0.4255,2.4448,7.6196
1.8688,66,0.5124,2.9445,11.4918
0.0901,88,0.5876,3.3764,20.5848
-0.5975,90,0.5265,3.0252,12.1033
1.3046,101,0.5922,3.4027,18.952
0.9204,90,0.5761,3.3101,14.947
-1.7874,74,0.4808,2.763,6.6488
-0.4992,97,0.5292,3.0411,12.8906
0.122,65,0.4242,2.4376,5.4565
-0.0751,102,0.4806,2.7615,7.735
-0.9821,73,0.5482,3.1499,14.7914
-0.5835,86,0.5517,3.1701,15.6903
3.7316,56,0.4682,2.6901,6.9125
3.5258,61,0.5408,3.1075,14.9646
2.0548,55,0.44,2.5283,7.3282
3.8024,55,0.5325,3.0601,14.8613
-3.2852,43,0.4889,2.8092,12.833
0.6064,55,0.4615,2.6517,9.0233
4.0785,58,0.5182,2.9779,12.3488
1.5858,50,0.2558,1.4701,2.6941
1.9217,63,0.3515,2.0198,3.2026
1.6099,38,0.3544,2.0364,4.2726
2.6746,58,0.5047,2.9003,12.2554
2.4102,65,0.5549,3.1883,14.5885
3.2369,59,0.5152,2.9603,13.3791
2.2831,60,0.4743,2.7255,7.7842
2.5608,52,0.1932,1.11,1.5953
2.8412,66,0.4712,2.7078,9.5074
-3.5275,73,0.5479,3.1485,17.654
0.0758,86,0.5599,3.2171,16.0709
0.7558,102,0.5015,2.8816,8.642
0.6483,73,0.4236,2.4342,4.0358
-2.3947,91,0.5436,3.1235,14.6763
0.06,108,0.5725,3.2895,16.3389
-1.1258,94,0.6089,3.4987,24.5792
1.1348,75,0.5518,3.1705,16.9728
-2.244,85,0.4886,2.8074,9.5251
-0.1021,99,0.5674,3.2606,17.5837
0.7249,85,0.5628,3.2342,15.0686
-0.3485,104,0.5894,3.3868,17.2499
0.6703,84,0.5337,3.0667,13.1026
0.7051,96,0.5904,3.3927,21.0084
0.6786,64,0.3998,2.2973,5.0217
1.2356,63,0.4879,2.8034,8.9719
2.1707,59,0.4593,2.6391,8.2885
1.1448,73,0.5404,3.1055,10.6947
2.6704,61,0.502,2.8844,8.6587
3.5434,63,0.5592,3.2135,16.7239
-0.2707,64,0.4115,2.3647,6.0453
3.8325,56,0.4944,2.8408,8.9791
0.1851,67,0.5024,2.8867,8.8298
2.9738,58,0.5154,2.9614,11.0902
1.005,57,0.5078,2.9182,13.9564
-0.3067,46,0.376,2.1606,5.5918
0.346,106,0.5703,3.2771,14.9139
0.1487,125,0.6493,3.7309,21.703
-1.343,97,0.6097,3.5034,22.1575
